LONC_CODE,DTA_DESC
29868-7,G-OH-Butyr Ur Ql - Gamma hydroxybutyrate [Presence] in Urine
29869-5,4OH-Cyclohexylacetate Ur Ql - 4-Hydroxycyclohexylacetate [Presence] in Urine
29870-3,4OH-phenyllactate Ur Ql - 4-Hydroxyphenyllactate [Presence] in Urine
29871-1,4OH-phenylpyruvate Ur Ql - 4-Hydroxyphenylpyruvate [Presence] in Urine
29872-9,5Oxoproline Ur Ql - 5-Oxoproline [Presence] in Urine
29873-7,Isobutyrylgly Ur Ql - Isobutyrylglycine [Presence] in Urine
29874-5,Isovalerylgly Ur Ql - Isovalerylglycine [Presence] in Urine
29875-2,Lactate Ur Ql - Lactate [Presence] in Urine
29876-0,2Me-citrate Ur Ql - 2-Methylcitrate [Presence] in Urine
29877-8,Methylmalonate Ur Ql - Methylmalonate [Presence] in Urine
29880-2,2OH3Me-valerate Ur Ql - 2-Hydroxy-3-Methylvalerate [Presence] in Urine
29881-0,2OH-gluterate Ur Ql - 2-Hydroxyglutarate [Presence] in Urine
29882-8,2OH-isovalerate Ur Ql - 2-Hydroxyisovalerate [Presence] in Urine
29883-6,2OH-phenylacetate Ur Ql - 2-Hydroxyphenylacetate [Presence] in Urine
28549-4,Yersinia Stl Cult - Yersinia sp identified in Stool by Organism specific culture
27270-8,4OH-phenylacetate Ur Ql - 4-Hydroxyphenylacetate [Presence] in Urine
2772-2,Phenylpyruvate Ur Ql - Phenylpyruvate [Presence] in Urine
26513-2,Neutrophils/leuk NFr Fld - Neutrophils/100 leukocytes in Body fluid
26682-5,Glycolate Ur Ql - Glycolate [Presence] in Urine
26685-8,3OH-Isovalerate Ur Ql - 3-Hydroxyisovalerate [Presence] in Urine
26797-1,A-OH-Butyr Ur Ql - Alpha hydroxybutyrate [Presence] in Urine
26799-7,Fumarate Ur Ql - Fumarate [Presence] in Urine
27132-0,Acetoacet Ur Ql - Acetoacetate [Presence] in Urine
26831-8,Suberate Ur Ql - Suberate [Presence] in Urine
26835-9,Sebacate Ur Ql - Sebacate (C8) [Presence] in Urine
32582-9,PPG Ur Ql - Phenylpropionylglycine [Presence] in Urine
32583-7,Phenyllactate Ur Ql - Phenyllactate [Presence] in Urine
32584-5,Propionylgly Ur Ql - Propionylglycine [Presence] in Urine
32331-1,Myoglobin SerPl Ql - Myoglobin [Presence] in Serum or Plasma
30577-1,2Me3OH-butyrate Ur Ql - 2-methyl-3-hydroxybutyrate (C5-OH) [Presence] in Urine
32758-5,CD11b Cells NFr Spec - CD11b cells/100 cells in Specimen
33299-9,N-Ac-L-Asp Ur Ql - N-acetyl-L-aspartate [Presence] in Urine
41499-5,L pneumo1 Ag Ur Ql IA - Legionella pneumophila 1 Ag [Presence] in Urine by Immunoassay
43226-0,2OH-isocaproate Ur Ql - 2-Hydroxyisocaproate [Presence] in Urine
43292-2,Neutrophil OB Bld - Neutrophil oxidative burst/unstimulated in Blood
34542-1,ACTH Stim IV Pnl SerPl - ACTH stimulation test using IV corticosteroids in Serum or Plasma
35009-0,Neuts Seg # Snv - Segmented neutrophils [#/volume] in Synovial fluid
85380-4,HIV IA algorithm interp SerPlBld-Imp - HIV immunoassay testing algorithm interpretation in Serum, Plasma or Blood
80186-0,JAK2 exon 12 Mut Anl Mar - JAK2 gene exon 12 targeted mutation analysis in Bone marrow by Molecular genetics method
80563-0,Report - Report
77944-7,CD11a Cells NFr Spec - CD11a cells/100 cells in Specimen
75506-6,Confirm aPTT - aPTT.lupus sensitive W excess phospholipid (LA confirm)
69030-5,Enterocyte IgG Ser Ql - Enterocyte IgG Ab [Presence] in Serum
7591-1,Chili Pepper IgE Qn - Chili Pepper IgE Ab [Units/volume] in Serum
9633-9,EBV VCA IgA Titr Ser IF - Epstein Barr virus capsid IgA Ab [Titer] in Serum by Immunofluorescence
6852-8,Green Pepper IgE Qn - Green Pepper IgE Ab [Units/volume] in Serum
51695-5,Chloride 24h Ur-mRate - Chloride [Mass/time] in 24 hour Urine
533-0,Mycobacterium Bld Cult - Mycobacterium sp identified in Blood by Organism specific culture
542-1,Mycobacterium Wnd Cult - Mycobacterium sp identified in Wound by Organism specific culture
5667-1,Isopropanol Bld-mCnc - Isopropanol [Mass/volume] in Blood
56234-8,Cow Milk IgG4-mCnc - Cow milk IgG4 Ab [Mass/volume] in Serum
570-2,Fungus Fld Cult - Fungus identified in Body fluid by Culture
5789-3,Fatty Casts #/area UrnS LPF - Fatty casts [#/area] in Urine sediment by Microscopy low power field
581-9,Gp B Strep Cvx Ql Cult - Streptococcus agalactiae [Presence] in Cervix by Organism specific culture
50332-6,Hexadecanedioate/Creat Ur - Hexadecanedioate/Creatinine [Mass Ratio] in Urine
50333-4,Tdecanedioate/Creat Ur - Tetradecanedioate/Creatinine [Mass Ratio] in Urine
47542-6,G-OH-Butyr/Creat Ur-sRto - Gamma hydroxybutyrate/Creatinine [Molar ratio] in Urine
48066-5,D dimer DDU PPP-mCnc - Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma
49546-5,Age Bld specimen - Age of Blood specimen
6713-2,Baker's yeast IgG Qn - Baker's yeast IgG Ab [Units/volume] in Serum
59349-1,Endoxifen SerPl-mCnc - Endoxifen [Mass/volume] in Serum or Plasma
59471-3,Ca-I BldV-mCnc - Calcium.ionized [Mass/volume] in Venous blood
59377-2,2-Methylacetoacetate/Creat Ur-sRto - 2-Methylacetoacetate/Creatinine [Molar ratio] in Urine
60300-1,Desipramine Spec-sCnc - Desipramine [Moles/volume] in Specimen
6134-1,Guinea Pig Epith IgE Qn - Guinea pig epithelium IgE Ab [Units/volume] in Serum
76023-1,N-Ac-L-Asp/Creat Ur-sRto - N-acetyl-L-aspartate/Creatinine [Molar ratio] in Urine
76348-2,PAPP-A adj MoM SerPl - Pregnancy associated plasma protein A [Multiple of the median] adjusted in Serum or Plasma
79178-0,4OH-Cyclohexylacetate/Creat Ur-sRto - 4-Hydroxycyclohexylacetate/Creatinine [Molar ratio] in Urine
79714-2,CYP2C19 gene prod met act imp Bld/T-Imp - CYP2C19 gene product metabolic activity interpretation in Blood or Tissue Qualitative by Molecular genetics method
80660-4,Strongyloides IgG Ser Ql IA - Strongyloides sp IgG Ab [Presence] in Serum by Immunoassay
81789-0,English walnut (rJug r) 3 IgE Qn - English walnut recombinant (rJug r) 3 IgE Ab [Units/volume] in Serum
81790-8,English walnut (rJug r) 1 IgE Qn - English walnut recombinant (rJug r) 1 IgE Ab [Units/volume] in Serum
89300-8,Tapen gluc Ur Ql Scn - Tapentadol glucuronide [Presence] in Urine by Screen method
89302-4,Noroxymorphone Ur Ql Scn - Noroxymorphone [Presence] in Urine by Screen method
89305-7,N3G Ur Ql Scn - Norbuprenorphine-3-glucuronide [Presence] in Urine by Screen method
89306-5,Nortapentadol Ur Ql Scn - Nortapentadol [Presence] in Urine by Screen method
89307-3,Naloxone-3G Ur Ql Scn - Naloxone-3-glucuronide [Presence] in Urine by Screen method
89308-1,Morphine-6-glucuronide Ur Ql Scn - Morphine-6-Glucuronide [Presence] in Urine by Screen method
89309-9,H3G Ur Ql Scn - Hydromorphone-3-glucuronide [Presence] in Urine by Screen method
92931-5,LPA c.5673A>G Geno Bld/T - LPA gene.c.5673A>G [Genotype] in Blood or Tissue by Molecular genetics method Nominal
38367-9,n-octanoylgly/Creat Ur - N-octanoylglycine/Creatinine [Mass Ratio] in Urine
38417-2,tr-Cinnamoylgly/Creat Ur - Trans-cinnamoylglycine/Creatinine [Mass Ratio] in Urine
38360-4,Isobutyrylgly/Creat Ur - Isobutyrylglycine/Creatinine [Mass Ratio] in Urine
48000-4,Chromosome Bld/T - Chromosome [Identifier] in Blood or Tissue by Molecular genetics method
47537-6,3OHsebacate/Creat Ur-sRto - 3-Hydroxysebacate ( 3-OH-C8)/Creatinine [Molar ratio] in Urine
4631-8,Hgb F Stl Ql Apt-Downey - Hemoglobin F [Presence] in Stool by Apt-Downey method
44842-3,Bacteria Spec Cult org #3 - Bacteria # 3 identified in Specimen by Culture
44537-9,HTLV I DNA Bld Ql NAA+probe - HTLV I DNA [Presence] in Blood by NAA with probe detection
44542-9,HTLV II DNA Bld Ql NAA+probe - HTLV II DNA [Presence] in Blood by NAA with probe detection
32653-8,DYS gene Mut Anl Bld/T - DYS gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
33949-9,Potassium/Creat Ur-sRto - Potassium/Creatinine [Molar ratio] in Urine
32169-5,Cystine 24h Ur-mCnc - Cystine [Mass/volume] in 24 hour Urine
2657-5,Nitrite Ur-mCnc - Nitrite [Mass/volume] in Urine
27892-9,Butyrylgly/Creat Ur - Butyrylglycine/Creatinine [Mass Ratio] in Urine
27920-8,Normeperidine Ur Ql - Normeperidine [Presence] in Urine
29527-9,Citrate/Creat Ur-sRto - Citrate/Creatinine [Molar ratio] in Urine
287-3,Isoniazid Islt MIC - Isoniazid [Susceptibility] by Minimum inhibitory concentration (MIC)
29643-4,Myeloperoxidase Ab Ser Ql IA - Myeloperoxidase Ab [Presence] in Serum by Immunoassay
29659-0,B pert IgG Ser Ql IA - Bordetella pertussis IgG Ab [Presence] in Serum by Immunoassay
29511-3,3OH-Isobutyrate/Creat Ur-sRto - 3-Hydroxyisobutyrate/Creatinine [Molar ratio] in Urine
29514-7,3OH-Isovalerate/Creat Ur-sRto - 3-Hydroxyisovalerate/Creatinine [Molar ratio] in Urine
29515-4,3OH-Propionate/Creat Ur-sRto - 3-Hydroxypropionate (3-OH-C3)/Creatinine [Molar ratio] in Urine
29516-2,3OH-Valerate/Creat Ur-sRto - 3-Hydroxyvalerate/Creatinine [Molar ratio] in Urine
29518-8,3Me-glutarate/Creat Ur-sRto - 3-Methylglutarate/Creatinine [Molar ratio] in Urine
29521-2,5OH-Hexanoate/Creat Ur-sRto - 5-Hydroxyhexanoate/Creatinine [Molar ratio] in Urine
29522-0,5Oxoproline/Creat Ur-sRto - 5-Oxoproline/Creatinine [Molar ratio] in Urine
29523-8,2Ethyl3OH-Prop/Creat Ur-sRto - 2-Ethyl-3-Hydroxypropionate/Creatinine [Molar ratio] in Urine
29524-6,Acetoacet/Creat Ur-sRto - Acetoacetate/Creatinine [Molar ratio] in Urine
29525-3,Aconitate/Creat Ur-sRto - Aconitate/Creatinine [Molar ratio] in Urine
29500-6,2OH-adipate/Creat Ur-sRto - 2-Hydroxyadipate/Creatinine [Molar ratio] in Urine
29502-2,2OH-gluterate/Creat Ur-sRto - 2-Hydroxyglutarate/Creatinine [Molar ratio] in Urine
29503-0,2OH-isocaproate/Creat Ur-sRto - 2-Hydroxyisocaproate/Creatinine [Molar ratio] in Urine
29506-3,2-Oxoadipate/Creat Ur-sRto - 2-Oxoadipate/Creatinine [Molar ratio] in Urine
29507-1,A-Ketoglut/Creat Ur-sRto - Alpha ketoglutarate/Creatinine [Molar ratio] in Urine
29508-9,3OH-Adipate/Creat Ur-sRto - 3-Hydroxyadipate/Creatinine [Molar ratio] in Urine
29509-7,B-OH-Butyr/Creat Ur-sRto - Beta hydroxybutyrate/Creatinine [Molar ratio] in Urine
30005-3,CYP21A2 Mut Anl Bld/T - CYP21A2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
29858-8,A-OH-Butyr/Creat Ur-sRto - Alpha hydroxybutyrate/Creatinine [Molar ratio] in Urine
29859-6,Adipate/Creat Ur-sRto - Adipate/Creatinine [Molar ratio] in Urine
16922-7,Wild rye grass IgE Qn - Wild rye grass IgE Ab [Units/volume] in Serum
18277-4,Hgb F Gast Ql Apt-Downey - Hemoglobin F [Presence] in Gastric fluid by Apt-Downey method
19532-1,Meperidine Ur Ql Scn - Meperidine [Presence] in Urine by Screen method
20403-2,Fibronectin Fetal Vag-mCnc - Fibronectin.fetal [Mass/volume] in Vaginal fluid
24016-8,LACV Ab Ser-Imp - La Crosse virus Ab [Interpretation] in Serum
2415-8,Histamine Bld-mCnc - Histamine [Mass/volume] in Blood
25101-7,Fumarate/Creat Ur-sRto - Fumarate/Creatinine [Molar ratio] in Urine
25103-3,Glutaconate/Creat Ur-sRto - Glutaconate/Creatinine [Molar ratio] in Urine
25104-1,Glutarate/Creat Ur-sRto - Glutarate/Creatinine [Molar ratio] in Urine
25083-7,2Oxo3Me-valerate/Creat Ur-sRto - 2-Oxo,3-Methylvalerate/Creatinine [Molar ratio] in Urine
25084-5,2Oxoisocaproate/Creat Ur-sRto - 2-Oxoisocaproate/Creatinine [Molar ratio] in Urine
25085-2,2Oxoisovalerate/Creat Ur-sRto - 2-Oxoisovalerate/Creatinine [Molar ratio] in Urine
24444-2,Tiglylgly/Creat Ur-sRto - Tiglylglycine/Creatinine [Molar ratio] in Urine
24441-8,PPG/Creat Ur-sRto - Phenylpropionylglycine/Creatinine [Molar ratio] in Urine
24438-4,Hexanoylgly/Creat Ur-sRto - Hexanoylglycine/Creatinine [Molar ratio] in Urine
24439-2,Isobutyrylgly/Creat Ur-sRto - Isobutyrylglycine/Creatinine [Molar ratio] in Urine
25097-7,DDDA/Creat Ur-sRto - Dodecanedioate/Creatinine [Molar ratio] in Urine
25111-6,Isocitrate/Creat Ur-sRto - Isocitrate/Creatinine [Molar ratio] in Urine
25119-9,NAT/Creat Ur-sRto - N-acetyltyrosine/Creatinine [Molar ratio] in Urine
25120-7,Octanoate/Creat Ur-sRto - Octanoate (C8:0)/Creatinine [Molar ratio] in Urine
25134-8,Sebacate/Creat Ur-sRto - Sebacate (C8)/Creatinine [Molar ratio] in Urine
25135-5,Suberate/Creat Ur-sRto - Suberate/Creatinine [Molar ratio] in Urine
25136-3,Succinate/Creat Ur-sRto - Succinate/Creatinine [Molar ratio] in Urine
25113-2,Malate/Creat Ur-sRto - Malate/Creatinine [Molar ratio] in Urine
25114-0,2Me-citrate/Creat Ur-sRto - 2-Methylcitrate/Creatinine [Molar ratio] in Urine
25124-9,Phenylacetate/Creat Ur-sRto - Phenylacetate/Creatinine [Molar ratio] in Urine
25125-6,Phenyllactate/Creat Ur-sRto - Phenyllactate/Creatinine [Molar ratio] in Urine
25126-4,Phenylpyruvate/Creat Ur-sRto - Phenylpyruvate/Creatinine [Molar ratio] in Urine
25132-2,Pyruvate/Creat Ur-sRto - Pyruvate/Creatinine [Molar ratio] in Urine
25087-8,3Me-glutaconate/Creat Ur-sRto - 3-Methylglutaconate/Creatinine [Molar ratio] in Urine
25088-6,4OH-phenylacetate/Creat Ur-sRto - 4-Hydroxyphenylacetate/Creatinine [Molar ratio] in Urine
25089-4,4OH-phenyllactate/Creat Ur-sRto - 4-Hydroxyphenyllactate/Creatinine [Molar ratio] in Urine
25093-6,Decadienediate/Creat Ur-sRto - Decadienediate/Creatinine [Molar ratio] in Urine
21081-5,ASPA gene Mut Anl Bld/T - ASPA gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
21560-8,T candidus Ab Ser Ql - Thermoactinomyces candidus Ab [Presence] in Serum
21726-5,SERPINA1 gene Mut Tested Bld/T - SERPINA1 gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal
22708-2,HVA/Creat Ur-sRto - Homovanillate/Creatinine [Molar ratio] in Urine
15870-9,Mustard IgE RAST Ql - Mustard IgE Ab RAST class [Presence] in Serum
16099-4,Ethionamide Islt MIC - Ethionamide [Susceptibility] by Minimum inhibitory concentration (MIC)
16100-0,Rifabutin Islt MIC - Rifabutin [Susceptibility] by Minimum inhibitory concentration (MIC)
15611-7,Catfish IgE RAST Ql - Catfish IgE Ab RAST class [Presence] in Serum
15641-4,Cinnamon IgE RAST Ql - Cinnamon IgE Ab RAST class [Presence] in Serum
14948-4,VMA/Creat Ur-sRto - Vanillylmandelate/Creatinine [Molar ratio] in Urine
12854-6,Hu1 Ab Ser-aCnc - Neuronal nuclear type 1 Ab [Units/volume] in Serum
13811-5,Suberylgly/Creat Ur - Suberylglycine/Creatinine [Mass Ratio] in Urine
13797-6,PBG/Creat Ur - Porphobilinogen/Creatinine [Mass Ratio] in Urine
13732-3,DDDA/Creat Ur - Dodecanedioate/Creatinine [Mass Ratio] in Urine
13766-1,Isovalerylgly/Creat Ur - Isovalerylglycine/Creatinine [Mass Ratio] in Urine
13771-1,MetanephS/Creat Ur - Metanephrines/Creatinine [Mass Ratio] in Urine
13741-4,Ethylmalonate/Creat Ur - Ethylmalonate/Creatinine [Mass Ratio] in Urine
13748-9,Glutarate/Creat Ur - Glutarate/Creatinine [Mass Ratio] in Urine
13788-5,Oxalate/Creat 24h Ur - Oxalate/Creatinine [Mass Ratio] in 24 hour Urine
13793-5,PPG/Creat Ur - Phenylpropionylglycine/Creatinine [Mass Ratio] in Urine
10656-7,Coccidia Stl Acid fast Stn - Coccidia identified in Stool by Acid fast stain
10851-4,E coli O157H7 Stl Ql Cult - Escherichia coli O157:H7 [Presence] in Stool by Organism specific culture
1030-6,Fy sup(b) Ab SerPl Ql - Fy sup(b) Ab [Presence] in Serum or Plasma
13928-7,PTH Ab Ser Ql - Parathyrin Ab [Presence] in Serum
13333-0,CD3+CD25+ Cells NFr Bld - CD3+CD25+ cells/100 cells in Blood
13176-3,Wasp Venom IgE Qn - Wasp venom IgE Ab [Units/volume] in Serum
15209-0,S viridis Ab Ser Ql ID - Saccharomonospora viridis Ab [Presence] in Serum by Immune diffusion (ID)
14054-1,Prostaglandin D2 24h Ur-mRate - Prostaglandin D2 [Mass/time] in 24 hour Urine
15709-9,Meadow Fescue IgE RAST Ql - Meadow Fescue IgE Ab RAST class [Presence] in Serum
15740-4,Brome IgE RAST Ql - Brome IgE Ab RAST class [Presence] in Serum
15746-1,Cocksfoot IgE RAST Ql - Cocksfoot IgE Ab RAST class [Presence] in Serum
15748-7,Red top grass IgE RAST Ql - Red top grass IgE Ab RAST class [Presence] in Serum
15749-5,Per rye grass IgE RAST Ql - Perennial rye grass IgE Ab RAST class [Presence] in Serum
15931-9,P betae IgE RAST Ql - Phoma betae IgE Ab RAST class [Presence] in Serum
21025-2,Path Interp Fld-Imp - Pathologist interpretation of Body fluid tests
25258-5,Itraconaz Spec-mCnc - Itraconazole [Mass/volume] in Specimen
26528-0,Cortis 1h p ACTH SerPl-mCnc - Cortisol [Mass/volume] in Serum or Plasma --1 hour post dose corticotropin
26530-6,Cortis 30M p ACTH SerPl-mCnc - Cortisol [Mass/volume] in Serum or Plasma --30 minutes post dose corticotropin
2568-4,Phospholipid SerPl-mCnc - Phospholipid [Mass/volume] in Serum or Plasma
25881-4,Copro 24h Ur-sCnc - Coproporphyrin [Moles/volume] in 24 hour Urine
25923-4,Hepta-CP 24h Ur-sCnc - Heptacarboxylporphyrin [Moles/volume] in 24 hour Urine
25924-2,Hexa-CP 24h Ur-sCnc - Hexacarboxylporphyrin [Moles/volume] in 24 hour Urine
25105-8,Glycerate/Creat Ur-sRto - Glycerate/Creatinine [Molar ratio] in Urine
24437-6,Butyrylgly/Creat Ur-sRto - Butyrylglycine/Creatinine [Molar ratio] in Urine
17342-7,Hu2 Ab Ser-aCnc - Neuronal nuclear type 2 Ab [Units/volume] in Serum
17296-5,M TB Cmplx rRNA Spec Ql Probe - Mycobacterium tuberculosis complex rRNA [Presence] in Specimen by Probe
16237-0,Butalbital Ur Cfm-mCnc - Butalbital [Mass/volume] in Urine by Confirmatory method
32084-6,Isopropanol Spec-sCnc - Isopropanol [Moles/volume] in Specimen
29520-4,5OH-indoleacetate/Creat Ur-sRto - 5-Hydroxyindoleacetate/Creatinine [Molar ratio] in Urine
27382-1,PBG 24h Ur-mCnc - Porphobilinogen [Mass/volume] in 24 hour Urine
26888-8,Sulfate 24h Ur-sCnc - Sulfate [Moles/volume] in 24 hour Urine
26997-7,CD3+CD25+ Cells # Bld - CD3+CD25+ cells [#/volume] in Blood
32639-7,FANCC gene Mut Anl Bld/T - FANCC gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
32640-5,BLM gene Mut Anl Bld/T - BLM gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
32641-3,SMPD1 gene Mut Anl Bld/T - SMPD1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
32216-4,Uropor 24h Ur-mCnc - Uroporphyrin [Mass/volume] in 24 hour Urine
47812-3,2Me-glutaconate/Creat Ur-sRto - 2-Methylglutaconate/Creatinine [Molar ratio] in Urine
47534-3,2OH-phenylacetate/Creat Ur-sRto - 2-Hydroxyphenylacetate/Creatinine [Molar ratio] in Urine
38252-3,COM MFr Stone - Calcium oxalate monohydrate/Total in Stone
35017-3,Myelocytes # CSF - Myelocytes [#/volume] in Cerebral spinal fluid
34658-5,MCOLN1 gene Mut Anl Bld/T - MCOLN1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
3436-3,CarboxyTHC Ur-mCnc - Carboxy tetrahydrocannabinol [Mass/volume] in Urine
35049-6,Lymphocytes # Snv - Lymphocytes [#/volume] in Synovial fluid
35534-7,Corn IgG-mCnc - Corn IgG Ab [Mass/volume] in Serum
35535-4,Egg White IgG-mCnc - Egg white IgG Ab [Mass/volume] in Serum
35537-0,Wheat IgG-mCnc - Wheat IgG Ab [Mass/volume] in Serum
35542-0,Peanut IgG-mCnc - Peanut IgG Ab [Mass/volume] in Serum
90736-0,CD14-FLAER- cells/100 cells.CD33 NFr Bld - CD14-FLAER- cells/100 cells.CD33 in Blood
90737-8,CD24-FLAER- cells/100 CD15 cells NFr Bld - CD24-FLAER- cells/100 CD15 cells in Blood
90738-6,RBC CD59 complete loss NFr - Erythrocytes.CD59 complete loss/100 erythrocytes in Blood
88147-4,Gram Stn Pcar - Microscopic observation [Identifier] in Pericardial fluid by Gram stain
79715-9,CYP2D6 gene prod met act imp Bld/T-Imp - CYP2D6 gene product metabolic activity interpretation in Blood or Tissue Qualitative by Molecular genetics method
79716-7,CYP2C9 gene prod met act imp Bld/T-Imp - CYP2C9 gene product metabolic activity interpretation in Blood or Tissue Qualitative by Molecular genetics method
80824-6,ZIKV IgM SerPl Ql IA - Zika virus IgM Ab [Presence] in Serum or Plasma by Immunoassay
75976-1,Fet Chr 21 Ts Plas.cfDNA Ql - Fetal Chromosome 21 trisomy [Interpretation] based on Plasma cell-free DNA by Dosage of chromosome-specific cfDNA Qualitative
75978-7,Fet Chr 18 Ts Plas.cfDNA Ql - Fetal Chromosome 18 trisomy [Interpretation] based on Plasma cell-free DNA by Dosage of chromosome-specific cfDNA Qualitative
75979-5,Fet Chr 13 Ts Plas.cfDNA Ql - Fetal Chromosome 13 trisomy [Interpretation] based on Plasma cell-free DNA by Dosage of chromosome-specific cfDNA Qualitative
75617-1, - Residence [NAMCS]
75078-6,3OH-dodecanoate/Creat Ur-sRto - 3-Hydroxydodecanoate (3-OH-C12:0)/Creatinine [Molar ratio] in Urine
61366-1,Haem influ DNA Spec Ql NAA+probe - Haemophilus influenzae DNA [Presence] in Specimen by NAA with probe detection
609-8,Bacteria Eye Aerobe Cult - Bacteria identified in Eye by Aerobe culture
6053-3,Brome IgE Qn - Brome IgE Ab [Units/volume] in Serum
60258-1,Bacteria Mar Cult - Bacteria identified in Bone marrow by Culture
6157-2,Deprecated Mutton IgE Qn - Deprecated Mutton IgE Ab [Units/volume] in Serum
9796-4,Color Stone - Color of Stone
9802-0,Size Stone - Size [Entitic volume] of Stone
7903-8,H pylori IgM Ser-aCnc - Helicobacter pylori IgM Ab [Units/volume] in Serum
7974-9,Norovirus RNA Stl Ql NAA+probe - Norovirus RNA [Presence] in Stool by NAA with probe detection
8245-3,Zinc Bld-mCnc - Zinc [Mass/volume] in Blood
9334-4,Methanol Bld-mCnc - Methanol [Mass/volume] in Blood
68990-1,Performing lab medical director - Performing laboratory medical director [Identifier]
7151-4,Blackberry IgE Qn - Blackberry IgE Ab [Units/volume] in Serum
49289-2,Porphyrins SerPl-Imp - Porphyrins [Interpretation] in Serum or Plasma Narrative
5022-9,M avium Cmplx rRNA Spec Ql Probe - Mycobacterium avium complex rRNA [Presence] in Specimen by Probe
5024-5,M gordonae rRNA Spec Ql Probe - Mycobacterium gordonae rRNA [Presence] in Specimen by Probe
5026-0,M kansasii rRNA Spec Ql Probe - Mycobacterium kansasii rRNA [Presence] in Specimen by Probe
47650-7,Homogentisate/Creat Ur-sRto - Homogentisate/Creatinine [Molar ratio] in Urine
48084-8,3OH-dodecanedioate/Creat Ur-sRto - 3-Hydroxydodecanedioate (3-OH-D-C12)/Creatinine [Molar ratio] in Urine
48099-6,Cortis 12 PM SerPl-mCnc - Cortisol [Mass/volume] in Serum or Plasma --12 PM specimen
48145-7,Mevalonolactone/Creat Ur-sRto - Mevalonolactone/Creatinine [Molar ratio] in Urine
49117-5,Norovirus Ag Stl Ql - Norovirus Ag [Presence] in Stool
51962-9,Pharmacogenetic DNA anl Pnl - Pharmacogenetic DNA analysis panel
51797-9,CV2 Ab SerPl-aCnc - CV2 Ab [Units/volume] in Serum or Plasma
52986-7,RUBV IgG Avidity Ser IA-Rto - Rubella virus IgG Ab avidity [Ratio] in Serum by Immunoassay
53748-0,LA Nt dPL PPP - Lupus anticoagulant neutralization dilute phospholipid [Time] in Platelet poor plasma
57181-0,LA Nt dPL/LA Nt HPL PPP-Rto - Lupus anticoagulant neutralization dilute phospholipid/Lupus anticoagulant neutralization.high phospholipid [Ratio] in Platelet poor plasma by Coagulation assay
5858-6,HSV Skin Cult - Herpes simplex virus identified in Skin by Organism specific culture
53829-8,Casein IgG-mCnc - Casein IgG Ab [Mass/volume] in Serum
56129-0,CHIKV IgG SerPl Ql IF - Chikungunya virus IgG Ab [Presence] in Serum or Plasma by Immunofluorescence
56131-6,CHIKV IgM SerPl Ql IF - Chikungunya virus IgM Ab [Presence] in Serum or Plasma by Immunofluorescence
58766-7,Epi Cells #/area Smn HPF - Epithelial cells [#/area] in Semen by Microscopy high power field
58767-5,RBC #/area Smn HPF - Erythrocytes [#/area] in Semen by Microscopy high power field
57979-7,HLA-B*15:02 Ql - HLA-B*15:02 [Presence]
58074-6,Wr sup(a) Ab SerPl Ql - Wr sup(a) Ab [Presence] in Serum or Plasma
51441-4,Macroprolactin/Prolactin MFr SerPl - Macroprolactin/Prolactin [Mass] in Serum or Plasma
49254-6,Bile Ac Pattern Ur-Imp - Bile acid pattern [Interpretation] in Urine Narrative
49625-7,CD59 Granulocytes Bld-Imp - CD59 Granulocytes [Interpretation] in Blood Qualitative
9363-3,B pert IgG Ser-aCnc - Bordetella pertussis IgG Ab [Units/volume] in Serum
6851-0,Penicillin G IgE Qn - Penicillin G IgE Ab [Units/volume] in Serum
6854-4,Pumpkin IgE Qn - Pumpkin IgE Ab [Units/volume] in Serum
60256-5,N gonorrhoea rRNA Ur Ql NAA+probe - Neisseria gonorrhoeae rRNA [Presence] in Urine by NAA with probe detection
79717-5,CYP3A5 gene prod met act imp Bld/T-Imp - CYP3A5 gene product metabolic activity interpretation in Blood or Tissue Qualitative by Molecular genetics method
79718-3,UGT1A1 gene prod met act imp Bld/T-Imp - UGT1A1 gene product metabolic activity interpretation in Blood or Tissue Qualitative by Molecular genetics method
79719-1,DPYD gene prod met act imp Bld/T-Imp - DPYD gene product metabolic activity interpretation in Blood or Tissue Qualitative by Molecular genetics method
79720-9,CYP2B6 gene prod met act imp Bld/T-Imp - CYP2B6 gene product metabolic activity interpretation in Blood or Tissue Qualitative by Molecular genetics method
80363-5,C trach DNA Rectum Ql NAA+probe - Chlamydia trachomatis DNA [Presence] in Rectum by NAA with probe detection
80364-3,C trach rRNA Rectum Ql NAA+probe - Chlamydia trachomatis rRNA [Presence] in Rectum by NAA with probe detection
79721-7,CYP4F2 gene prod met activ imp Bld/T-Imp - CYP4F2 gene product metabolic activity interpretation in Blood or Tissue Qualitative by Molecular genetics method
79722-5,SLCO1B1 gene prod funct imp Bld/T - SLCO1B1 gene product functional interpretation in Blood or Tissue Qualitative by Molecular genetics method
